:START_ID,:END_ID,relation,:TYPE
herb_id_82,Dosage-Administration_id_165,has_Dosage-Administration,Dosage-Administration
herb_id_83,Dosage-Administration_id_26,has_Dosage-Administration,Dosage-Administration
herb_id_84,Dosage-Administration_id_382,has_Dosage-Administration,Dosage-Administration
herb_id_85,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_86,Dosage-Administration_id_152,has_Dosage-Administration,Dosage-Administration
herb_id_87,Dosage-Administration_id_343,has_Dosage-Administration,Dosage-Administration
herb_id_88,Dosage-Administration_id_125,has_Dosage-Administration,Dosage-Administration
herb_id_89,Dosage-Administration_id_125,has_Dosage-Administration,Dosage-Administration
herb_id_90,Dosage-Administration_id_123,has_Dosage-Administration,Dosage-Administration
herb_id_91,Dosage-Administration_id_261,has_Dosage-Administration,Dosage-Administration
herb_id_92,Dosage-Administration_id_118,has_Dosage-Administration,Dosage-Administration
herb_id_93,Dosage-Administration_id_16,has_Dosage-Administration,Dosage-Administration
herb_id_94,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_95,Dosage-Administration_id_276,has_Dosage-Administration,Dosage-Administration
herb_id_96,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_97,Dosage-Administration_id_118,has_Dosage-Administration,Dosage-Administration
herb_id_98,Dosage-Administration_id_13,has_Dosage-Administration,Dosage-Administration
herb_id_99,Dosage-Administration_id_108,has_Dosage-Administration,Dosage-Administration
herb_id_100,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_101,Dosage-Administration_id_98,has_Dosage-Administration,Dosage-Administration
herb_id_102,Dosage-Administration_id_378,has_Dosage-Administration,Dosage-Administration
herb_id_103,Dosage-Administration_id_118,has_Dosage-Administration,Dosage-Administration
herb_id_104,Dosage-Administration_id_118,has_Dosage-Administration,Dosage-Administration
herb_id_105,Dosage-Administration_id_57,has_Dosage-Administration,Dosage-Administration
herb_id_106,Dosage-Administration_id_356,has_Dosage-Administration,Dosage-Administration
herb_id_107,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_108,Dosage-Administration_id_231,has_Dosage-Administration,Dosage-Administration
herb_id_109,Dosage-Administration_id_343,has_Dosage-Administration,Dosage-Administration
herb_id_110,Dosage-Administration_id_365,has_Dosage-Administration,Dosage-Administration
herb_id_111,Dosage-Administration_id_70,has_Dosage-Administration,Dosage-Administration
herb_id_112,Dosage-Administration_id_16,has_Dosage-Administration,Dosage-Administration
herb_id_113,Dosage-Administration_id_310,has_Dosage-Administration,Dosage-Administration
herb_id_114,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_115,Dosage-Administration_id_132,has_Dosage-Administration,Dosage-Administration
herb_id_116,Dosage-Administration_id_358,has_Dosage-Administration,Dosage-Administration
herb_id_117,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_118,Dosage-Administration_id_70,has_Dosage-Administration,Dosage-Administration
herb_id_119,Dosage-Administration_id_138,has_Dosage-Administration,Dosage-Administration
herb_id_120,Dosage-Administration_id_202,has_Dosage-Administration,Dosage-Administration
herb_id_121,Dosage-Administration_id_43,has_Dosage-Administration,Dosage-Administration
herb_id_122,Dosage-Administration_id_99,has_Dosage-Administration,Dosage-Administration
herb_id_123,Dosage-Administration_id_70,has_Dosage-Administration,Dosage-Administration
herb_id_124,Dosage-Administration_id_393,has_Dosage-Administration,Dosage-Administration
herb_id_125,Dosage-Administration_id_322,has_Dosage-Administration,Dosage-Administration
herb_id_127,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_128,Dosage-Administration_id_246,has_Dosage-Administration,Dosage-Administration
herb_id_129,Dosage-Administration_id_61,has_Dosage-Administration,Dosage-Administration
herb_id_130,Dosage-Administration_id_334,has_Dosage-Administration,Dosage-Administration
herb_id_131,Dosage-Administration_id_206,has_Dosage-Administration,Dosage-Administration
herb_id_132,Dosage-Administration_id_319,has_Dosage-Administration,Dosage-Administration
herb_id_133,Dosage-Administration_id_360,has_Dosage-Administration,Dosage-Administration
herb_id_134,Dosage-Administration_id_158,has_Dosage-Administration,Dosage-Administration
herb_id_135,Dosage-Administration_id_287,has_Dosage-Administration,Dosage-Administration
herb_id_136,Dosage-Administration_id_303,has_Dosage-Administration,Dosage-Administration
herb_id_137,Dosage-Administration_id_116,has_Dosage-Administration,Dosage-Administration
herb_id_138,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_139,Dosage-Administration_id_23,has_Dosage-Administration,Dosage-Administration
herb_id_140,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_141,Dosage-Administration_id_318,has_Dosage-Administration,Dosage-Administration
herb_id_142,Dosage-Administration_id_267,has_Dosage-Administration,Dosage-Administration
herb_id_143,Dosage-Administration_id_214,has_Dosage-Administration,Dosage-Administration
herb_id_144,Dosage-Administration_id_299,has_Dosage-Administration,Dosage-Administration
herb_id_145,Dosage-Administration_id_70,has_Dosage-Administration,Dosage-Administration
herb_id_146,Dosage-Administration_id_94,has_Dosage-Administration,Dosage-Administration
herb_id_147,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_148,Dosage-Administration_id_349,has_Dosage-Administration,Dosage-Administration
herb_id_149,Dosage-Administration_id_188,has_Dosage-Administration,Dosage-Administration
herb_id_150,Dosage-Administration_id_49,has_Dosage-Administration,Dosage-Administration
herb_id_151,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_152,Dosage-Administration_id_5,has_Dosage-Administration,Dosage-Administration
herb_id_153,Dosage-Administration_id_331,has_Dosage-Administration,Dosage-Administration
herb_id_154,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_155,Dosage-Administration_id_38,has_Dosage-Administration,Dosage-Administration
herb_id_156,Dosage-Administration_id_263,has_Dosage-Administration,Dosage-Administration
herb_id_157,Dosage-Administration_id_48,has_Dosage-Administration,Dosage-Administration
herb_id_158,Dosage-Administration_id_149,has_Dosage-Administration,Dosage-Administration
herb_id_159,Dosage-Administration_id_174,has_Dosage-Administration,Dosage-Administration
