:START_ID,:END_ID,relation,:TYPE
herb_id_226,concoct_id_166,has_concoct,concoct
herb_id_228,concoct_id_130,has_concoct,concoct
herb_id_231,concoct_id_263,has_concoct,concoct
herb_id_232,concoct_id_266,has_concoct,concoct
herb_id_233,concoct_id_203,has_concoct,concoct
herb_id_236,concoct_id_266,has_concoct,concoct
herb_id_237,concoct_id_247,has_concoct,concoct
herb_id_238,concoct_id_252,has_concoct,concoct
herb_id_240,concoct_id_161,has_concoct,concoct
herb_id_241,concoct_id_61,has_concoct,concoct
herb_id_244,concoct_id_115,has_concoct,concoct
herb_id_245,concoct_id_228,has_concoct,concoct
herb_id_247,concoct_id_207,has_concoct,concoct
herb_id_249,concoct_id_139,has_concoct,concoct
herb_id_250,concoct_id_237,has_concoct,concoct
herb_id_251,concoct_id_142,has_concoct,concoct
herb_id_252,concoct_id_177,has_concoct,concoct
herb_id_253,concoct_id_192,has_concoct,concoct
herb_id_254,concoct_id_12,has_concoct,concoct
herb_id_255,concoct_id_158,has_concoct,concoct
herb_id_256,concoct_id_78,has_concoct,concoct
herb_id_257,concoct_id_164,has_concoct,concoct
herb_id_260,concoct_id_16,has_concoct,concoct
herb_id_261,concoct_id_46,has_concoct,concoct
herb_id_263,concoct_id_56,has_concoct,concoct
herb_id_264,concoct_id_42,has_concoct,concoct
herb_id_265,concoct_id_20,has_concoct,concoct
herb_id_266,concoct_id_21,has_concoct,concoct
herb_id_267,concoct_id_73,has_concoct,concoct
herb_id_268,concoct_id_22,has_concoct,concoct
herb_id_269,concoct_id_55,has_concoct,concoct
herb_id_271,concoct_id_40,has_concoct,concoct
herb_id_272,concoct_id_24,has_concoct,concoct
herb_id_273,concoct_id_133,has_concoct,concoct
herb_id_274,concoct_id_27,has_concoct,concoct
herb_id_275,concoct_id_28,has_concoct,concoct
herb_id_276,concoct_id_30,has_concoct,concoct
herb_id_277,concoct_id_133,has_concoct,concoct
herb_id_278,concoct_id_48,has_concoct,concoct
herb_id_279,concoct_id_134,has_concoct,concoct
herb_id_280,concoct_id_58,has_concoct,concoct
herb_id_283,concoct_id_135,has_concoct,concoct
herb_id_284,concoct_id_39,has_concoct,concoct
herb_id_286,concoct_id_17,has_concoct,concoct
herb_id_287,concoct_id_43,has_concoct,concoct
herb_id_288,concoct_id_137,has_concoct,concoct
herb_id_289,concoct_id_31,has_concoct,concoct
herb_id_290,concoct_id_72,has_concoct,concoct
herb_id_291,concoct_id_138,has_concoct,concoct
herb_id_292,concoct_id_32,has_concoct,concoct
herb_id_295,concoct_id_49,has_concoct,concoct
herb_id_301,concoct_id_225,has_concoct,concoct
herb_id_302,concoct_id_205,has_concoct,concoct
herb_id_303,concoct_id_148,has_concoct,concoct
herb_id_304,concoct_id_119,has_concoct,concoct
herb_id_305,concoct_id_162,has_concoct,concoct
herb_id_308,concoct_id_223,has_concoct,concoct
herb_id_309,concoct_id_270,has_concoct,concoct
herb_id_310,concoct_id_79,has_concoct,concoct
herb_id_311,concoct_id_236,has_concoct,concoct
herb_id_315,concoct_id_1,has_concoct,concoct
herb_id_316,concoct_id_160,has_concoct,concoct
herb_id_317,concoct_id_93,has_concoct,concoct
herb_id_320,concoct_id_187,has_concoct,concoct
herb_id_321,concoct_id_81,has_concoct,concoct
herb_id_322,concoct_id_81,has_concoct,concoct
herb_id_325,concoct_id_129,has_concoct,concoct
herb_id_326,concoct_id_119,has_concoct,concoct
herb_id_328,concoct_id_68,has_concoct,concoct
herb_id_330,concoct_id_85,has_concoct,concoct
herb_id_331,concoct_id_141,has_concoct,concoct
herb_id_332,concoct_id_233,has_concoct,concoct
herb_id_334,concoct_id_233,has_concoct,concoct
herb_id_335,concoct_id_140,has_concoct,concoct
herb_id_336,concoct_id_196,has_concoct,concoct
herb_id_339,concoct_id_119,has_concoct,concoct
herb_id_341,concoct_id_140,has_concoct,concoct
herb_id_342,concoct_id_124,has_concoct,concoct
herb_id_343,concoct_id_160,has_concoct,concoct
herb_id_344,concoct_id_98,has_concoct,concoct
herb_id_345,concoct_id_140,has_concoct,concoct
herb_id_346,concoct_id_140,has_concoct,concoct
herb_id_347,concoct_id_140,has_concoct,concoct
